species,clade,family,crown.illumination,T50,Tcrit
Alpinia sp,monocot,Zingiberaceae,3,53.63,43.95
Acoelorrhaphe wrightii,monocot,Arecaceae,5,54.03,45.27
Acrostichum danaeifolium,fern,Pteridaceae,5,51.23,43.68
Adenocalymma comosum,dicot,Bignoniaceae,5,51.45,42.38
Agathis macrophylla,gymnosperm,Araucariaceae,3,56.68,35.15
Alluaudia procera,dicot,Didiereaceae,5,53.65,45.29
Aloysia virgata,dicot,Verbenaceae,4,49.62,40.39
Angiopteris sp,fern,Marattiaceae,2,50.82,44.98
Annona glabra,magnoliid,Annonaceae,4,51.9,45.18
Antidesma bunius,dicot,Phyllanthaceae,4,52.24,40.26
Araucaria montana,gymnosperm,Araucariaceae,5,53.55,43.45
Araucaria nemorosa,gymnosperm,Araucariaceae,4,53.49,41.5
Artabotrys hexapetalus,magnoliid,Annonaceae,3,51.7,41.61
Asplenium nidus,fern,Aspleniaceae,3,50.6,41.97
Attalea brasiliensis,monocot,Arecaceae,5,53.66,47.07
Blechnum sp,fern,Blechnaceae,3,48.95,40.8
Bontia daphnoides,dicot,Scrophulariaceae,5,47.73,44.72
Bourreria baccata,dicot,Boraginaceae,4,48.62,42.72
Bourreria havanensis,dicot,Boraginaceae,5,47.49,40.73
Brosimum alicastrum,dicot,Moraceae,4,53.02,42.03
Brunfelsia lactea,dicot,Solanaceae,3,51.44,41.04
Bulnesia arborea,dicot,Zygophyllaceae,5,47.9,42.34
Buxus vahlii,dicot,Buxaceae,3,51.88,40.59
Byrsonima lucida,dicot,Malpighiaceae,5,50.77,43.04
Calophyllum calaba,dicot,Calophyllaceae,5,49.9,44.68
Calycogonium,dicot,Melastomataceae,3,50.96,43.9
Cananga odorata,magnoliid,Annonaceae,5,49.24,45.46
Canella winterana,magnoliid,Canellaceae,2,52.3,45.97
Cassine quadrangulata,dicot,Celastraceae,5,51.92,44.28
Cecropia sp,dicot,Urticaceae,5,50.77,46.16
Cedrus odorata,eudicot,Pinaceae,5,53.22,40.75
Cestrum bahamense,dicot,Solanaceae,3,48.6,40.01
Chelyocarpus chuco,monocot,Arecaceae,5,56.67,39.41
Clusia rosea,dicot,Clusiaceae,5,54.61,48.58
Cocculus laurifolius,dicot,Menispermaceae,4,50.94,45.76
Cochlospermum vitifolium,dicot,Bixaceae,5,50.45,44.43
Combretum rotundifolium,dicot,Combretaceae,5,52.62,42.54
Cordia lutea,dicot,Boraginaceae,4,49,45.22
Ctenitis sloanei,fern,Dryopteridaceae,3,47.91,44.01
Cycas rumphii,gymnosperm,Cycadaceae,5,49.83,42.62
Cynophalla flexuosa,dicot,Capparaceae,5,52.29,42.76
Deparia japonica,fern,Athyriaceae,3,47.78,41.87
Diospyros maritima,dicot,Ebenaceae,4,50.45,42.09
Dodonaea viscosa,dicot,Sapindaceae,4,50.44,42.07
Elaeocarpus sylvestris,dicot,Elaeocarpaceae,3,53.33,48.37
Encephalartos gratus,gymnosperm,Zamiaceae,4,51.95,45.64
Ficus natalensis,dicot,Moraceae,3,50.56,42.2
Ficus racemosa,dicot,Moraceae,5,53.14,41.61
Filicium decipiens,dicot,Sapindaceae,5,52.2,41.09
Fraxinus uhdei,dicot,Oleaceae,5,52.55,46.64
Gardenia taitensis,dicot,Rubiaceae,5,50.94,42.71
Gnetum gnemon,gymnosperm,Gnetaceae,5,54.31,43.69
Guaiacum sanctum,dicot,Zygophyllaceae,3,52.55,41.07
Gymnostoma nobile,eudicot,Casuarinaceae,4,54.8,47.45
Hamelia patens,dicot,Rubiaceae,5,52.04,44.9
Heliotropium angiospermum,dicot,Boraginaceae,4,49.4,42.34
Hernandia guianensis,magnoliid,Hernandiaceae,5,54.34,41.79
Hibiscus rosa-sinensis,dicot,Malvaceae,5,50.57,41.67
Holmskioldia sanguinea,dicot,Lamiaceae,5,49.1,44.61
Hopea odorata,dicot,Dipterocarpaceae,5,49.99,40.67
Jacquinia keyensis,dicot,Primulaceae,5,51.47,39.69
Jasminum sambac,dicot,Oleaceae,3,54.38,43.53
Juanulloa mexicana,dicot,Solanaceae,2,48.72,39.66
Juniperus barbadensis,gymnosperm,Cupressaceae,5,53.43,44.16
Kalanchoe velutina,dicot,Crassulaceae,5,56.08,51.65
Khaya nyasica,dicot,Meliaceae,5,52.3,37.63
Kigelia africana,dicot,Bignoniaceae,5,51.27,44.55
Laurus nobilis,magnoliid,Lauraceae,3,50.42,41.36
Lawsonia inermis,dicot,Lythraceae,5,48.77,41.58
Leea guineensis,dicot,Vitaceae,4,54.93,47.62
Leucophyllum frutescens,dicot,Scrophulariaceae,2,53.39,45
Malpighia glabra,dicot,Malpighiaceae,2.5,49.38,40.63
Manilkara zapota,dicot,Sapotaceae,5,48.73,31.05
Molineria capitulata,monocot,Hypoxidaceae,2,55.08,46.73
Myriocarpa longipes,dicot,Urticaceae,5,51.78,44.97
Myristica fragrans,magnoliid,Myristicaceae,3,53.87,44.45
Nageia nagi,gymnosperm,Podocarpaceae,3,51.55,42.71
Napoleonaea imperialis,dicot,Lecythidaceae,3,49.86,43.72
Nectandra coriacea,magnoliid,Lauraceae,5,54.11,46.63
Pachira aquatica,dicot,Malvaceae,5,52.13,41.74
Pereskia grandifolia,dicot,Cactaceae,5,49.86,41.59
Persea americana,magnoliid,Lauraceae,5,51.96,44.24
Petrea volubilis,dicot,Verbenaceae,5,49.76,45.68
Phaleria macrocarpa,dicot,Thymelaeaceae,4,52.22,38.82
Phymatosorus scolopendria,fern,Polypodiaceae,4,49.85,37.16
Phytolacca dioica,dicot,Phytolaccaceae,5,50.1,41.13
Picramnia pentandra,dicot,Picramniaceae,5,51.86,38.85
Pilea grandifolia,dicot,Urticaceae,2,50.52,45.48
Pinus elliottii,gymnosperm,Pinaceae,5,52.24,42.13
Piper auritum,magnoliid,Piperaceae,2,48.6,39.45
Piper neesianum,magnoliid,Piperaceae,3,49.73,41.53
Pittosporum sp,dicot,Pittosporaceae,5,54.36,48.16
Platycerium bifurcatum,fern,Polypodiaceae,2,50.96,40.54
Platycladus orientalis,gymnosperm,Cupressaceae,4,53.75,44.24
Plumeria obtusa,dicot,Apocynaceae,5,53.66,46.24
Podocarpus henkelii,gymnosperm,Podocarpaceae,4,54.65,46.43
Podocarpus macrophyllus,gymnosperm,Podocarpaceae,4,48.45,40.01
Pontederia cordata,monocot,Pontederiaceae,5,52.72,43.69
Psychotria nervosa,dicot,Rubiaceae,2,49.5,44.78
Psychotria viridis,dicot,Rubiaceae,2,51.7,38.59
Ravenia spectabilis,dicot,Rutaceae,2.5,51.33,42.18
Rhus sp,dicot,Anacardiaceae,4,51.61,46.73
Sanchezia sanmartinensis,dicot,Acanthaceae,2.5,53,44.58
Schaefferia frutescens,dicot,Celastraceae,2,52.62,43.67
Schinus terebinthifolia,dicot,Anacardiaceae,4,50.42,39.15
